date,market,commodity,demand_units,stock_level,stock_received,unit_cost_ngn,lead_time_days,seasonal_factor,festive_factor,supply_shock
2022-08-14,Lagos,Rice (50kg bag),660,725,0,42000,7,1.1,1.0,0.75
2022-08-21,Lagos,Rice (50kg bag),632,1989,1896,42000,7,1.1,1.0,1.0
2022-08-28,Lagos,Rice (50kg bag),655,1334,0,42000,7,1.1,1.1,1.0
2022-09-04,Lagos,Rice (50kg bag),486,848,0,42000,7,1.1,1.0,1.0
2022-09-11,Lagos,Rice (50kg bag),531,1910,1593,42000,7,1.1,1.0,1.0
2022-09-18,Lagos,Rice (50kg bag),465,1445,0,42000,7,1.1,1.0,0.75
2022-09-25,Lagos,Rice (50kg bag),605,840,0,42000,7,1.1,1.0,1.0
2022-10-02,Lagos,Rice (50kg bag),661,2162,1983,42000,7,1.1,1.0,1.0
2022-10-09,Lagos,Rice (50kg bag),657,1505,0,42000,7,1.1,1.0,1.0
2022-10-16,Lagos,Rice (50kg bag),680,825,0,42000,7,1.1,1.0,1.0
2022-10-23,Lagos,Rice (50kg bag),505,1835,1515,42000,7,1.1,1.0,1.0
2022-10-30,Lagos,Rice (50kg bag),788,1047,0,42000,7,1.1,1.1,1.0
2022-11-06,Lagos,Rice (50kg bag),449,598,0,42000,7,0.85,1.0,1.0
2022-11-13,Lagos,Rice (50kg bag),362,1322,1086,42000,7,0.85,1.0,1.0
2022-11-20,Lagos,Rice (50kg bag),514,808,0,42000,7,0.85,1.0,0.75
2022-11-27,Lagos,Rice (50kg bag),426,1660,1278,42000,7,0.85,1.1,1.0
2022-12-04,Lagos,Rice (50kg bag),491,1169,0,42000,7,0.85,1.0,1.0
2022-12-11,Lagos,Rice (50kg bag),512,657,0,42000,7,0.85,1.0,1.0
2022-12-18,Lagos,Rice (50kg bag),479,1615,1437,42000,7,0.85,1.0,1.0
2022-12-25,Lagos,Rice (50kg bag),686,929,0,42000,7,0.85,1.6,1.0
2023-01-01,Lagos,Rice (50kg bag),734,2397,2202,42000,7,0.85,1.6,1.0
2023-01-08,Lagos,Rice (50kg bag),497,1900,0,42000,7,0.85,1.0,0.75
2023-01-15,Lagos,Rice (50kg bag),459,1441,0,42000,7,0.85,1.0,1.0
2023-01-22,Lagos,Rice (50kg bag),432,1009,0,42000,7,0.85,1.0,1.0
2023-01-29,Lagos,Rice (50kg bag),413,596,0,42000,7,0.85,1.1,1.0
2023-02-05,Lagos,Rice (50kg bag),437,1470,1311,42000,7,0.85,1.0,1.0
2023-02-12,Lagos,Rice (50kg bag),467,1003,0,42000,7,0.85,1.0,0.75
2023-02-19,Lagos,Rice (50kg bag),427,576,0,42000,7,0.85,1.0,1.0
2023-02-26,Lagos,Rice (50kg bag),492,1560,1476,42000,7,0.85,1.0,1.0
2023-03-05,Lagos,Rice (50kg bag),480,1080,0,42000,7,1.0,1.0,1.0
2023-03-12,Lagos,Rice (50kg bag),546,2172,1638,42000,7,1.0,1.0,1.0
2023-03-19,Lagos,Rice (50kg bag),643,1529,0,42000,7,1.0,1.0,1.0
2023-03-26,Lagos,Rice (50kg bag),767,3063,2301,42000,7,1.0,1.25,1.0
2023-04-02,Lagos,Rice (50kg bag),688,2375,0,42000,7,1.1,1.25,1.0
2023-04-09,Lagos,Rice (50kg bag),729,1646,0,42000,7,1.1,1.25,1.0
2023-04-16,Lagos,Rice (50kg bag),809,837,0,42000,7,1.1,1.3,1.0
2023-04-23,Lagos,Rice (50kg bag),610,2057,1830,42000,7,1.1,1.0,1.0
2023-04-30,Lagos,Rice (50kg bag),682,1375,0,42000,7,1.1,1.1,1.0
2023-05-07,Lagos,Rice (50kg bag),539,836,0,42000,7,1.1,1.0,1.0
2023-05-14,Lagos,Rice (50kg bag),464,1764,1392,42000,7,1.1,1.0,1.0
2023-05-21,Lagos,Rice (50kg bag),653,1111,0,42000,7,1.1,1.0,1.0
2023-05-28,Lagos,Rice (50kg bag),617,2345,1851,42000,7,1.1,1.1,1.0
2023-06-04,Lagos,Rice (50kg bag),660,1685,0,42000,7,1.1,1.0,1.0
2023-06-11,Lagos,Rice (50kg bag),584,1101,0,42000,7,1.1,1.0,1.0
2023-06-18,Lagos,Rice (50kg bag),720,2001,1620,42000,7,1.1,1.35,0.75
2023-06-25,Lagos,Rice (50kg bag),883,1118,0,42000,7,1.1,1.35,1.0
2023-07-02,Lagos,Rice (50kg bag),661,2440,1983,42000,7,1.1,1.0,1.0
2023-07-09,Lagos,Rice (50kg bag),684,1756,0,42000,7,1.1,1.0,1.0
2023-07-16,Lagos,Rice (50kg bag),592,1164,0,42000,7,1.1,1.0,1.0
2023-07-23,Lagos,Rice (50kg bag),563,601,0,42000,7,1.1,1.0,1.0
2023-07-30,Lagos,Rice (50kg bag),532,1665,1596,42000,7,1.1,1.1,1.0
2023-08-06,Lagos,Rice (50kg bag),592,1073,0,42000,7,1.1,1.0,1.0
2023-08-13,Lagos,Rice (50kg bag),664,2401,1992,42000,7,1.1,1.0,1.0
2023-08-20,Lagos,Rice (50kg bag),576,1825,0,42000,7,1.1,1.0,1.0
2023-08-27,Lagos,Rice (50kg bag),591,1234,0,42000,7,1.1,1.1,1.0
2023-09-03,Lagos,Rice (50kg bag),656,2054,1476,42000,7,1.1,1.0,0.75
2023-09-10,Lagos,Rice (50kg bag),682,1372,0,42000,7,1.1,1.0,1.0
2023-09-17,Lagos,Rice (50kg bag),658,714,0,42000,7,1.1,1.0,1.0
2023-09-24,Lagos,Rice (50kg bag),556,1826,1668,42000,7,1.1,1.0,1.0
2023-10-01,Lagos,Rice (50kg bag),648,1178,0,42000,7,1.1,1.0,1.0
2023-10-08,Lagos,Rice (50kg bag),550,628,0,42000,7,1.1,1.0,0.75
2023-10-15,Lagos,Rice (50kg bag),399,1426,1197,42000,7,1.1,1.0,1.0
2023-10-22,Lagos,Rice (50kg bag),516,910,0,42000,7,1.1,1.0,1.0
2023-10-29,Lagos,Rice (50kg bag),646,2202,1938,42000,7,1.1,1.1,1.0
2023-11-05,Lagos,Rice (50kg bag),451,1751,0,42000,7,0.85,1.0,1.0
2023-11-12,Lagos,Rice (50kg bag),467,1284,0,42000,7,0.85,1.0,1.0
2023-11-19,Lagos,Rice (50kg bag),425,859,0,42000,7,0.85,1.0,1.0
2023-11-26,Lagos,Rice (50kg bag),540,1939,1620,42000,7,0.85,1.0,1.0
2023-12-03,Lagos,Rice (50kg bag),488,1451,0,42000,7,0.85,1.0,1.0
2023-12-10,Lagos,Rice (50kg bag),489,962,0,42000,7,0.85,1.0,1.0
2023-12-17,Lagos,Rice (50kg bag),459,503,0,42000,7,0.85,1.0,1.0
2023-12-24,Lagos,Rice (50kg bag),761,2025,2283,42000,7,0.85,1.6,1.0
2023-12-31,Lagos,Rice (50kg bag),736,1289,0,42000,7,0.85,1.6,1.0
2024-01-07,Lagos,Rice (50kg bag),423,866,0,42000,7,0.85,1.0,1.0
2024-01-14,Lagos,Rice (50kg bag),453,1772,1359,42000,7,0.85,1.0,1.0
2024-01-21,Lagos,Rice (50kg bag),487,1285,0,42000,7,0.85,1.0,0.75
2024-01-28,Lagos,Rice (50kg bag),525,760,0,42000,7,0.85,1.1,1.0
2024-02-04,Lagos,Rice (50kg bag),421,1602,1263,42000,7,0.85,1.0,1.0
2024-02-11,Lagos,Rice (50kg bag),491,1111,0,42000,7,0.85,1.0,1.0
2024-02-18,Lagos,Rice (50kg bag),433,678,0,42000,7,0.85,1.0,1.0
2024-02-25,Lagos,Rice (50kg bag),451,1580,1353,42000,7,0.85,1.0,1.0
2024-03-03,Lagos,Rice (50kg bag),578,1002,0,42000,7,1.0,1.0,1.0
2024-03-10,Lagos,Rice (50kg bag),561,2124,1683,42000,7,1.0,1.0,1.0
2024-03-17,Lagos,Rice (50kg bag),555,1569,0,42000,7,1.0,1.0,1.0
2024-03-24,Lagos,Rice (50kg bag),562,1007,0,42000,7,1.0,1.25,0.75
2024-03-31,Lagos,Rice (50kg bag),715,2437,2145,42000,7,1.0,1.25,1.0
2024-04-07,Lagos,Rice (50kg bag),716,1721,0,42000,7,1.1,1.25,1.0
2024-04-14,Lagos,Rice (50kg bag),703,1018,0,42000,7,1.1,1.3,1.0
2024-04-21,Lagos,Rice (50kg bag),610,1323,915,42000,7,1.1,1.0,0.5
2024-04-28,Lagos,Rice (50kg bag),645,678,0,42000,7,1.1,1.1,1.0
2024-05-05,Lagos,Rice (50kg bag),539,1756,1617,42000,7,1.1,1.0,1.0
2024-05-12,Lagos,Rice (50kg bag),621,1135,0,42000,7,1.1,1.0,1.0
2024-05-19,Lagos,Rice (50kg bag),566,569,0,42000,7,1.1,1.0,0.5
2024-05-26,Lagos,Rice (50kg bag),630,1829,1890,42000,7,1.1,1.0,1.0
2024-06-02,Lagos,Rice (50kg bag),502,1327,0,42000,7,1.1,1.0,1.0
2024-06-09,Lagos,Rice (50kg bag),663,664,0,42000,7,1.1,1.0,1.0
2024-06-16,Lagos,Rice (50kg bag),855,2374,2565,42000,7,1.1,1.35,1.0
2024-06-23,Lagos,Rice (50kg bag),643,1731,0,42000,7,1.1,1.35,1.0
2024-06-30,Lagos,Rice (50kg bag),686,1045,0,42000,7,1.1,1.1,1.0
2024-07-07,Lagos,Rice (50kg bag),621,2287,1863,42000,7,1.1,1.0,1.0
2024-07-14,Lagos,Rice (50kg bag),625,1662,0,42000,7,1.1,1.0,1.0
2024-07-21,Lagos,Rice (50kg bag),601,1061,0,42000,7,1.1,1.0,1.0
2024-07-28,Lagos,Rice (50kg bag),561,2183,1683,42000,7,1.1,1.1,1.0
2024-08-04,Lagos,Rice (50kg bag),446,1737,0,42000,7,1.1,1.0,1.0
2024-08-11,Lagos,Rice (50kg bag),653,1084,0,42000,7,1.1,1.0,1.0
2024-08-18,Lagos,Rice (50kg bag),676,2436,2028,42000,7,1.1,1.0,1.0
2024-08-25,Lagos,Rice (50kg bag),539,1897,0,42000,7,1.1,1.0,1.0
2024-09-01,Lagos,Rice (50kg bag),614,1283,0,42000,7,1.1,1.0,1.0
2024-09-08,Lagos,Rice (50kg bag),444,839,0,42000,7,1.1,1.0,1.0
2024-09-15,Lagos,Rice (50kg bag),599,2037,1797,42000,7,1.1,1.0,1.0
2024-09-22,Lagos,Rice (50kg bag),573,1464,0,42000,7,1.1,1.0,1.0
2024-09-29,Lagos,Rice (50kg bag),645,819,0,42000,7,1.1,1.1,1.0
2024-10-06,Lagos,Rice (50kg bag),589,1555,1325,42000,7,1.1,1.0,0.75
2024-10-13,Lagos,Rice (50kg bag),570,985,0,42000,7,1.1,1.0,1.0
2024-10-20,Lagos,Rice (50kg bag),514,2013,1542,42000,7,1.1,1.0,1.0
2024-10-27,Lagos,Rice (50kg bag),667,1346,0,42000,7,1.1,1.1,1.0
2024-11-03,Lagos,Rice (50kg bag),435,911,0,42000,7,0.85,1.0,1.0
2024-11-10,Lagos,Rice (50kg bag),429,482,0,42000,7,0.85,1.0,1.0
2024-11-17,Lagos,Rice (50kg bag),391,1264,1173,42000,7,0.85,1.0,1.0
2024-11-24,Lagos,Rice (50kg bag),391,873,0,42000,7,0.85,1.0,0.75
2024-12-01,Lagos,Rice (50kg bag),543,1959,1629,42000,7,0.85,1.0,1.0
2024-12-08,Lagos,Rice (50kg bag),467,1492,0,42000,7,0.85,1.0,1.0
2024-12-15,Lagos,Rice (50kg bag),438,1054,0,42000,7,0.85,1.0,1.0
2024-12-22,Lagos,Rice (50kg bag),710,2474,2130,42000,7,0.85,1.6,1.0
2024-12-29,Lagos,Rice (50kg bag),802,1672,0,42000,7,0.85,1.6,1.0
2022-01-02,Lagos,Maize (50kg bag),538,1262,0,18000,5,0.85,1.6,1.0
2022-01-09,Lagos,Maize (50kg bag),380,882,0,18000,5,0.85,1.0,1.0
2022-01-16,Lagos,Maize (50kg bag),408,474,0,18000,5,0.85,1.0,1.0
2022-01-23,Lagos,Maize (50kg bag),332,1138,996,18000,5,0.85,1.0,1.0
2022-01-30,Lagos,Maize (50kg bag),467,671,0,18000,5,0.85,1.1,1.0
2022-02-06,Lagos,Maize (50kg bag),354,1379,1062,18000,5,0.85,1.0,1.0
2022-02-13,Lagos,Maize (50kg bag),356,1023,0,18000,5,0.85,1.0,1.0
2022-02-20,Lagos,Maize (50kg bag),401,622,0,18000,5,0.85,1.0,1.0
2022-02-27,Lagos,Maize (50kg bag),386,815,579,18000,5,0.85,1.1,0.5
2022-03-06,Lagos,Maize (50kg bag),491,1797,1473,18000,5,1.0,1.0,1.0
2022-03-13,Lagos,Maize (50kg bag),416,1381,0,18000,5,1.0,1.0,1.0
2022-03-20,Lagos,Maize (50kg bag),490,891,0,18000,5,1.0,1.25,1.0
2022-03-27,Lagos,Maize (50kg bag),659,2209,1977,18000,5,1.0,1.25,1.0
2022-04-03,Lagos,Maize (50kg bag),512,1697,0,18000,5,1.1,1.25,1.0
2022-04-10,Lagos,Maize (50kg bag),606,1091,0,18000,5,1.1,1.3,1.0
2022-04-17,Lagos,Maize (50kg bag),707,2505,2121,18000,5,1.1,1.3,1.0
2022-04-24,Lagos,Maize (50kg bag),539,1966,0,18000,5,1.1,1.0,1.0
2022-05-01,Lagos,Maize (50kg bag),543,1423,0,18000,5,1.1,1.0,1.0
2022-05-08,Lagos,Maize (50kg bag),522,901,0,18000,5,1.1,1.0,1.0
2022-05-15,Lagos,Maize (50kg bag),358,543,0,18000,5,1.1,1.0,1.0
2022-05-22,Lagos,Maize (50kg bag),476,1495,1428,18000,5,1.1,1.0,1.0
2022-05-29,Lagos,Maize (50kg bag),557,938,0,18000,5,1.1,1.1,0.75
2022-06-05,Lagos,Maize (50kg bag),529,1996,1587,18000,5,1.1,1.0,1.0
2022-06-12,Lagos,Maize (50kg bag),458,1538,0,18000,5,1.1,1.0,1.0
2022-06-19,Lagos,Maize (50kg bag),788,3114,2364,18000,5,1.1,1.35,1.0
2022-06-26,Lagos,Maize (50kg bag),483,2631,0,18000,5,1.1,1.0,1.0
2022-07-03,Lagos,Maize (50kg bag),459,2172,0,18000,5,1.1,1.0,1.0
2022-07-10,Lagos,Maize (50kg bag),522,1650,0,18000,5,1.1,1.0,1.0
2022-07-17,Lagos,Maize (50kg bag),595,1055,0,18000,5,1.1,1.0,1.0
2022-07-24,Lagos,Maize (50kg bag),501,554,0,18000,5,1.1,1.0,1.0
2022-07-31,Lagos,Maize (50kg bag),528,1610,1584,18000,5,1.1,1.1,1.0
2022-08-07,Lagos,Maize (50kg bag),460,1150,0,18000,5,1.1,1.0,1.0
2022-08-14,Lagos,Maize (50kg bag),550,600,0,18000,5,1.1,1.0,0.75
2022-08-21,Lagos,Maize (50kg bag),527,1654,1581,18000,5,1.1,1.0,1.0
2022-08-28,Lagos,Maize (50kg bag),546,1108,0,18000,5,1.1,1.1,1.0
2022-09-04,Lagos,Maize (50kg bag),405,703,0,18000,5,1.1,1.0,1.0
2022-09-11,Lagos,Maize (50kg bag),442,1587,1326,18000,5,1.1,1.0,1.0
2022-09-18,Lagos,Maize (50kg bag),387,1200,0,18000,5,1.1,1.0,0.75
2022-09-25,Lagos,Maize (50kg bag),504,696,0,18000,5,1.1,1.0,1.0
2022-10-02,Lagos,Maize (50kg bag),551,1798,1653,18000,5,1.1,1.0,1.0
2022-10-09,Lagos,Maize (50kg bag),547,1251,0,18000,5,1.1,1.0,1.0
2022-10-16,Lagos,Maize (50kg bag),567,684,0,18000,5,1.1,1.0,1.0
2022-10-23,Lagos,Maize (50kg bag),420,1524,1260,18000,5,1.1,1.0,1.0
2022-10-30,Lagos,Maize (50kg bag),657,867,0,18000,5,1.1,1.1,1.0
2022-11-06,Lagos,Maize (50kg bag),374,493,0,18000,5,0.85,1.0,1.0
2022-11-13,Lagos,Maize (50kg bag),301,1095,903,18000,5,0.85,1.0,1.0
2022-11-20,Lagos,Maize (50kg bag),428,667,0,18000,5,0.85,1.0,0.75
2022-11-27,Lagos,Maize (50kg bag),355,1377,1065,18000,5,0.85,1.1,1.0
2022-12-04,Lagos,Maize (50kg bag),409,968,0,18000,5,0.85,1.0,1.0
2022-12-11,Lagos,Maize (50kg bag),426,542,0,18000,5,0.85,1.0,1.0
2022-12-18,Lagos,Maize (50kg bag),399,1340,1197,18000,5,0.85,1.0,1.0
2022-12-25,Lagos,Maize (50kg bag),572,768,0,18000,5,0.85,1.6,1.0
2023-01-01,Lagos,Maize (50kg bag),612,1992,1836,18000,5,0.85,1.6,1.0
2023-01-08,Lagos,Maize (50kg bag),414,1578,0,18000,5,0.85,1.0,0.75
2023-01-15,Lagos,Maize (50kg bag),382,1196,0,18000,5,0.85,1.0,1.0
2023-01-22,Lagos,Maize (50kg bag),360,836,0,18000,5,0.85,1.0,1.0
2023-01-29,Lagos,Maize (50kg bag),344,492,0,18000,5,0.85,1.1,1.0
2023-02-05,Lagos,Maize (50kg bag),364,1220,1092,18000,5,0.85,1.0,1.0
2023-02-12,Lagos,Maize (50kg bag),389,831,0,18000,5,0.85,1.0,0.75
2023-02-19,Lagos,Maize (50kg bag),355,476,0,18000,5,0.85,1.0,1.0
2023-02-26,Lagos,Maize (50kg bag),410,1296,1230,18000,5,0.85,1.0,1.0
2023-03-05,Lagos,Maize (50kg bag),400,896,0,18000,5,1.0,1.0,1.0
2023-03-12,Lagos,Maize (50kg bag),455,1806,1365,18000,5,1.0,1.0,1.0
2023-03-19,Lagos,Maize (50kg bag),536,1270,0,18000,5,1.0,1.0,1.0
2023-03-26,Lagos,Maize (50kg bag),639,2548,1917,18000,5,1.0,1.25,1.0
2023-04-02,Lagos,Maize (50kg bag),574,1974,0,18000,5,1.1,1.25,1.0
2023-04-09,Lagos,Maize (50kg bag),607,1367,0,18000,5,1.1,1.25,1.0
2023-04-16,Lagos,Maize (50kg bag),674,693,0,18000,5,1.1,1.3,1.0
2023-04-23,Lagos,Maize (50kg bag),509,1711,1527,18000,5,1.1,1.0,1.0
2023-04-30,Lagos,Maize (50kg bag),568,1143,0,18000,5,1.1,1.1,1.0
2023-05-07,Lagos,Maize (50kg bag),449,694,0,18000,5,1.1,1.0,1.0
2023-05-14,Lagos,Maize (50kg bag),387,1468,1161,18000,5,1.1,1.0,1.0
2023-05-21,Lagos,Maize (50kg bag),544,924,0,18000,5,1.1,1.0,1.0
2023-05-28,Lagos,Maize (50kg bag),514,1952,1542,18000,5,1.1,1.1,1.0
2023-06-04,Lagos,Maize (50kg bag),550,1402,0,18000,5,1.1,1.0,1.0
2023-06-11,Lagos,Maize (50kg bag),487,915,0,18000,5,1.1,1.0,1.0
2023-06-18,Lagos,Maize (50kg bag),600,1665,1350,18000,5,1.1,1.35,0.75
2023-06-25,Lagos,Maize (50kg bag),736,929,0,18000,5,1.1,1.35,1.0
2023-07-02,Lagos,Maize (50kg bag),551,2031,1653,18000,5,1.1,1.0,1.0
2023-07-09,Lagos,Maize (50kg bag),570,1461,0,18000,5,1.1,1.0,1.0
2023-07-16,Lagos,Maize (50kg bag),493,968,0,18000,5,1.1,1.0,1.0
2023-07-23,Lagos,Maize (50kg bag),469,499,0,18000,5,1.1,1.0,1.0
2023-07-30,Lagos,Maize (50kg bag),443,1385,1329,18000,5,1.1,1.1,1.0
2023-08-06,Lagos,Maize (50kg bag),493,892,0,18000,5,1.1,1.0,1.0
2023-08-13,Lagos,Maize (50kg bag),553,1998,1659,18000,5,1.1,1.0,1.0
2023-08-20,Lagos,Maize (50kg bag),480,1518,0,18000,5,1.1,1.0,1.0
2023-08-27,Lagos,Maize (50kg bag),492,1026,0,18000,5,1.1,1.1,1.0
2023-09-03,Lagos,Maize (50kg bag),547,1709,1230,18000,5,1.1,1.0,0.75
2023-09-10,Lagos,Maize (50kg bag),568,1141,0,18000,5,1.1,1.0,1.0
2023-09-17,Lagos,Maize (50kg bag),548,593,0,18000,5,1.1,1.0,1.0
2023-09-24,Lagos,Maize (50kg bag),463,1519,1389,18000,5,1.1,1.0,1.0
2023-10-01,Lagos,Maize (50kg bag),540,979,0,18000,5,1.1,1.0,1.0
2023-10-08,Lagos,Maize (50kg bag),458,521,0,18000,5,1.1,1.0,0.75
2023-10-15,Lagos,Maize (50kg bag),332,1185,996,18000,5,1.1,1.0,1.0
2023-10-22,Lagos,Maize (50kg bag),430,755,0,18000,5,1.1,1.0,1.0
2023-10-29,Lagos,Maize (50kg bag),538,1831,1614,18000,5,1.1,1.1,1.0
2023-11-05,Lagos,Maize (50kg bag),375,1456,0,18000,5,0.85,1.0,1.0
2023-11-12,Lagos,Maize (50kg bag),389,1067,0,18000,5,0.85,1.0,1.0
2023-11-19,Lagos,Maize (50kg bag),354,713,0,18000,5,0.85,1.0,1.0
2023-11-26,Lagos,Maize (50kg bag),450,1613,1350,18000,5,0.85,1.0,1.0
2023-12-03,Lagos,Maize (50kg bag),406,1207,0,18000,5,0.85,1.0,1.0
2023-12-10,Lagos,Maize (50kg bag),408,799,0,18000,5,0.85,1.0,1.0
2023-12-17,Lagos,Maize (50kg bag),383,416,0,18000,5,0.85,1.0,1.0
2023-12-24,Lagos,Maize (50kg bag),634,1684,1902,18000,5,0.85,1.6,1.0
2023-12-31,Lagos,Maize (50kg bag),613,1071,0,18000,5,0.85,1.6,1.0
2024-01-07,Lagos,Maize (50kg bag),352,719,0,18000,5,0.85,1.0,1.0
2024-01-14,Lagos,Maize (50kg bag),377,1473,1131,18000,5,0.85,1.0,1.0
2024-01-21,Lagos,Maize (50kg bag),406,1067,0,18000,5,0.85,1.0,0.75
2024-01-28,Lagos,Maize (50kg bag),437,630,0,18000,5,0.85,1.1,1.0
2024-02-04,Lagos,Maize (50kg bag),351,1332,1053,18000,5,0.85,1.0,1.0
2024-02-11,Lagos,Maize (50kg bag),409,923,0,18000,5,0.85,1.0,1.0
2024-02-18,Lagos,Maize (50kg bag),360,563,0,18000,5,0.85,1.0,1.0
2024-02-25,Lagos,Maize (50kg bag),376,1315,1128,18000,5,0.85,1.0,1.0
2024-03-03,Lagos,Maize (50kg bag),482,833,0,18000,5,1.0,1.0,1.0
2024-03-10,Lagos,Maize (50kg bag),468,1769,1404,18000,5,1.0,1.0,1.0
2024-03-17,Lagos,Maize (50kg bag),463,1306,0,18000,5,1.0,1.0,1.0
2024-03-24,Lagos,Maize (50kg bag),468,838,0,18000,5,1.0,1.25,0.75
2024-03-31,Lagos,Maize (50kg bag),596,2030,1788,18000,5,1.0,1.25,1.0
2024-04-07,Lagos,Maize (50kg bag),597,1433,0,18000,5,1.1,1.25,1.0
2024-04-14,Lagos,Maize (50kg bag),586,847,0,18000,5,1.1,1.3,1.0
2024-04-21,Lagos,Maize (50kg bag),508,1101,762,18000,5,1.1,1.0,0.5
2024-04-28,Lagos,Maize (50kg bag),538,563,0,18000,5,1.1,1.1,1.0
2024-05-05,Lagos,Maize (50kg bag),449,1461,1347,18000,5,1.1,1.0,1.0
2024-05-12,Lagos,Maize (50kg bag),517,944,0,18000,5,1.1,1.0,1.0
2024-05-19,Lagos,Maize (50kg bag),472,472,0,18000,5,1.1,1.0,0.5
2024-05-26,Lagos,Maize (50kg bag),525,1522,1575,18000,5,1.1,1.0,1.0
2024-06-02,Lagos,Maize (50kg bag),418,1104,0,18000,5,1.1,1.0,1.0
2024-06-09,Lagos,Maize (50kg bag),552,552,0,18000,5,1.1,1.0,1.0
2024-06-16,Lagos,Maize (50kg bag),712,1976,2136,18000,5,1.1,1.35,1.0
2024-06-23,Lagos,Maize (50kg bag),535,1441,0,18000,5,1.1,1.35,1.0
2024-06-30,Lagos,Maize (50kg bag),572,869,0,18000,5,1.1,1.1,1.0
2024-07-07,Lagos,Maize (50kg bag),518,1905,1554,18000,5,1.1,1.0,1.0
2024-07-14,Lagos,Maize (50kg bag),521,1384,0,18000,5,1.1,1.0,1.0
2024-07-21,Lagos,Maize (50kg bag),501,883,0,18000,5,1.1,1.0,1.0
2024-07-28,Lagos,Maize (50kg bag),468,1819,1404,18000,5,1.1,1.1,1.0
2024-08-04,Lagos,Maize (50kg bag),371,1448,0,18000,5,1.1,1.0,1.0
2024-08-11,Lagos,Maize (50kg bag),544,904,0,18000,5,1.1,1.0,1.0
2024-08-18,Lagos,Maize (50kg bag),563,2030,1689,18000,5,1.1,1.0,1.0
2024-08-25,Lagos,Maize (50kg bag),449,1581,0,18000,5,1.1,1.0,1.0
2024-09-01,Lagos,Maize (50kg bag),511,1070,0,18000,5,1.1,1.0,1.0
2024-09-08,Lagos,Maize (50kg bag),370,700,0,18000,5,1.1,1.0,1.0
2024-09-15,Lagos,Maize (50kg bag),499,1698,1497,18000,5,1.1,1.0,1.0
2024-09-22,Lagos,Maize (50kg bag),478,1220,0,18000,5,1.1,1.0,1.0
2024-09-29,Lagos,Maize (50kg bag),537,683,0,18000,5,1.1,1.1,1.0
